Q1HZ,Q1PY,Q1FR,RFR
我是朋友,wŏ shì Péngyǒu,Je suis,Ami
我是父亲,wŏ shì Fùqīn,Je suis,Père
我是母亲,wŏ shì Mǔqīn,Je suis,Mère
我是爸爸,wŏ shì bàbà,Je suis,Papa
我是妈妈,wŏ shì māma,Je suis,Maman
我是兄弟,wŏ shì Xiōngdì,Je suis,Frère
我是姐妹,wŏ shì Jiěmèi,Je suis,Sœur
我是儿子,wŏ shì Érzi,Je suis,Fils
我是女儿,wŏ shì Nǚ'ér,Je suis,Fille
我是叔叔,wŏ shì Shūshu,Je suis,Oncle
我是姨,wŏ shì Yí,Je suis,Tante
我是侄儿,wŏ shì Zhí er,Je suis,Neveu
我是侄女,wŏ shì Zhínǚ,Je suis,Nièce
我是表兄,wŏ shì biǎo xiōng,Je suis,Cousin
我是表姊妹,wŏ shì biǎo zǐmèi,Je suis,Cousine
我是爷爷,wŏ shì yéyé,Je suis,Grand-père
我是奶奶,wŏ shì nǎinai,Je suis,Grand-mère
我是孙子,wŏ shì Sūnzi,Je suis,Petit-fils
我是孙女,wŏ shì Sūnnǚ,Je suis,Petite-fille
我是女朋友,wŏ shì Nǚ péngyǒu,Je suis,Petite
你是朋友,nĭ shì Péngyǒu,Tu es,Ami
你是父亲,nĭ shì Fùqīn,Tu es,Père
你是母亲,nĭ shì Mǔqīn,Tu es,Mère
你是爸爸,nĭ shì bàbà,Tu es,Papa
你是妈妈,nĭ shì māma,Tu es,Maman
你是兄弟,nĭ shì Xiōngdì,Tu es,Frère
你是姐妹,nĭ shì Jiěmèi,Tu es,Sœur
你是儿子,nĭ shì Érzi,Tu es,Fils
你是女儿,nĭ shì Nǚ'ér,Tu es,Fille
你是叔叔,nĭ shì Shūshu,Tu es,Oncle
你是姨,nĭ shì Yí,Tu es,Tante
你是侄儿,nĭ shì Zhí er,Tu es,Neveu
你是侄女,nĭ shì Zhínǚ,Tu es,Nièce
你是表兄,nĭ shì biǎo xiōng,Tu es,Cousin
你是表姊妹,nĭ shì biǎo zǐmèi,Tu es,Cousine
你是爷爷,nĭ shì yéyé,Tu es,Grand-père
你是奶奶,nĭ shì nǎinai,Tu es,Grand-mère
你是孙子,nĭ shì Sūnzi,Tu es,Petit-fils
你是孙女,nĭ shì Sūnnǚ,Tu es,Petite-fille
你是女朋友,nĭ shì Nǚ péngyǒu,Tu es,Petite
他是朋友,tā shì Péngyǒu,Il est,Ami
他是父亲,tā shì Fùqīn,Il est,Père
他是爸爸,tā shì bàbà,Il est,Papa
他是兄弟,tā shì Xiōngdì,Il est,Frère
他是儿子,tā shì Érzi,Il est,Fils
他是叔叔,tā shì Shūshu,Il est,Oncle
他是侄儿,tā shì Zhí er,Il est,Neveu
他是表兄,tā shì biǎo xiōng,Il est,Cousin
他是爷爷,tā shì yéyé,Il est,Grand-père
他是奶奶,tā shì nǎinai,Il est,Grand-mère
他是孙子,tā shì Sūnzi,Il est,Petit-fils
她是朋友,tā shì Péngyǒu,Elle est,Amie
她是母亲,tā shì Mǔqīn,Elle est,Mère
她是妈妈,tā shì māma,Elle est,Maman
她是姐妹,tā shì Jiěmèi,Elle est,Sœur
她是女儿,tā shì Nǚ'ér,Elle est,Fille
她是姨,tā shì Yí,Elle est,Tante
她是侄女,tā shì Zhínǚ,Elle est,Nièce
她是表姊妹,tā shì biǎo zǐmèi,Elle est,Cousine
她是奶奶,tā shì nǎinai,Elle est,Grand-mère
她是孙女,tā shì Sūnnǚ,Elle est,Petite-fille
她是女朋友,tā shì Nǚ péngyǒu,Elle est,Petite
