Basis I,FR,HANZI,PINYIN
1,Je suis Ami,我是朋友,wŏ shì Péngyǒu
2,Je suis Père,我是父亲,wŏ shì Fùqīn
3,Je suis Mère,我是母亲,wŏ shì Mǔqīn
4,Je suis Papa,我是爸爸,wŏ shì bàbà
5,Je suis Maman,我是妈妈,wŏ shì māma
6,Je suis Frère,我是兄弟,wŏ shì Xiōngdì
7,Je suis Sœur,我是姐妹,wŏ shì Jiěmèi
8,Je suis Fils,我是儿子,wŏ shì Érzi
9,Je suis Fille,我是女儿,wŏ shì Nǚ'ér
10,Je suis Oncle,我是叔叔,wŏ shì Shūshu
11,Je suis Tante,我是姨,wŏ shì Yí
12,Je suis Neveu,我是侄儿,wŏ shì Zhí er
13,Je suis Nièce,我是侄女,wŏ shì Zhínǚ
14,Je suis Cousin,我是表兄,wŏ shì biǎo xiōng
15,Je suis Cousine,我是表姊妹,wŏ shì biǎo zǐmèi
16,Je suis Grand-père,我是爷爷,wŏ shì yéyé
17,Je suis Grand-mère,我是奶奶,wŏ shì nǎinai
18,Je suis Petit-fils,我是孙子,wŏ shì Sūnzi
19,Je suis Petite-fille,我是孙女,wŏ shì Sūnnǚ
20,Je suis Petite amie,我是女朋友,wŏ shì Nǚ péngyǒu
21,Tu es Ami,你是朋友,nĭ shì Péngyǒu
22,Tu es Père,你是父亲,nĭ shì Fùqīn
23,Tu es Mère,你是母亲,nĭ shì Mǔqīn
24,Tu es Papa,你是爸爸,nĭ shì bàbà
25,Tu es Maman,你是妈妈,nĭ shì māma
26,Tu es Frère,你是兄弟,nĭ shì Xiōngdì
27,Tu es Sœur,你是姐妹,nĭ shì Jiěmèi
28,Tu es Fils,你是儿子,nĭ shì Érzi
29,Tu es Fille,你是女儿,nĭ shì Nǚ'ér
30,Tu es Oncle,你是叔叔,nĭ shì Shūshu
31,Tu es Tante,你是姨,nĭ shì Yí
32,Tu es Neveu,你是侄儿,nĭ shì Zhí er
33,Tu es Nièce,你是侄女,nĭ shì Zhínǚ
34,Tu es Cousin,你是表兄,nĭ shì biǎo xiōng
35,Tu es Cousine,你是表姊妹,nĭ shì biǎo zǐmèi
36,Tu es Grand-père,你是爷爷,nĭ shì yéyé
37,Tu es Grand-mère,你是奶奶,nĭ shì nǎinai
38,Tu es Petit-fils,你是孙子,nĭ shì Sūnzi
39,Tu es Petite-fille,你是孙女,nĭ shì Sūnnǚ
40,Tu es Petite amie,你是女朋友,nĭ shì Nǚ péngyǒu
41,Il est Ami,他是朋友,tā shì Péngyǒu
42,Il est Père,他是父亲,tā shì Fùqīn
43,Il est Papa,他是爸爸,tā shì bàbà
44,Il est Frère,他是兄弟,tā shì Xiōngdì
45,Il est Fils,他是儿子,tā shì Érzi
46,Il est Oncle,他是叔叔,tā shì Shūshu
47,Il est Neveu,他是侄儿,tā shì Zhí er
48,Il est Cousin,他是表兄,tā shì biǎo xiōng
49,Il est Grand-père,他是爷爷,tā shì yéyé
50,Il est Grand-mère,他是奶奶,tā shì nǎinai
51,Il est Petit-fils,他是孙子,tā shì Sūnzi
52,Elle est Amie,她是朋友,tā shì Péngyǒu
53,Elle est Mère,她是母亲,tā shì Mǔqīn
54,Elle est Maman,她是妈妈,tā shì māma
55,Elle est Sœur,她是姐妹,tā shì Jiěmèi
56,Elle est Fille,她是女儿,tā shì Nǚ'ér
57,Elle est Tante,她是姨,tā shì Yí
58,Elle est Nièce,她是侄女,tā shì Zhínǚ
59,Elle est Cousine,她是表姊妹,tā shì biǎo zǐmèi
60,Elle est Grand-mère,她是奶奶,tā shì nǎinai
61,Elle est Petite-fille,她是孙女,tā shì Sūnnǚ
62,Elle est Petite amie,她是女朋友,tā shì Nǚ péngyǒu
